previous_crop,soil_nitrogen,soil_ph,rainfall,temperature,recommended_next_crop
Wheat,20,7.1,916,17,Rice
Sugarcane,15,5.6,412,35,Potato
Wheat,33,6.6,1412,19,Rice
Potato,20,6.0,984,31,Wheat
Wheat,34,6.9,1356,20,Rice
Millet,29,7.5,821,31,Cotton
Millet,23,7.5,1185,25,Cotton
Millet,49,7.1,571,16,Cotton
Barley,50,7.1,1114,16,Wheat
Millet,48,6.2,436,16,Cotton
Wheat,19,5.6,1137,19,Rice
Sugarcane,34,7.5,673,20,Potato
Sugarcane,25,7.1,1476,19,Potato
Potato,43,6.4,1251,34,Wheat
Sugarcane,16,7.4,1450,27,Potato
Barley,12,7.0,1213,29,Wheat
Tomato,41,7.0,1494,33,Rice
Wheat,19,6.8,908,18,Rice
Soybean,47,6.3,396,21,Barley
Cotton,11,6.8,1238,32,Tomato
Barley,15,6.8,1402,19,Wheat
Potato,37,7.0,970,30,Wheat
Millet,30,7.4,782,25,Cotton
Wheat,25,7.4,735,18,Rice
Cotton,10,6.7,704,25,Tomato
Potato,16,5.9,706,24,Wheat
Millet,36,5.6,1453,30,Cotton
Cotton,33,7.0,563,16,Tomato
Rice,35,6.6,1166,32,Maize
Soybean,45,5.8,1306,34,Barley
Potato,40,6.7,1152,30,Wheat
Cotton,45,7.5,341,21,Tomato
Barley,42,6.4,302,22,Wheat
Wheat,19,6.2,1047,26,Rice
Tomato,37,7.5,950,21,Rice
Wheat,44,6.7,981,26,Rice
Rice,35,7.0,850,31,Maize
Cotton,32,6.3,398,15,Tomato
Sugarcane,28,6.0,1075,17,Potato
Soybean,20,5.7,899,25,Barley
Wheat,17,6.0,1190,26,Rice
Maize,26,5.9,603,34,Soybean
Rice,46,7.2,980,29,Maize
Cotton,32,6.0,318,22,Tomato
Barley,27,6.1,625,15,Wheat
Potato,41,7.4,1461,19,Wheat
Cotton,10,7.0,523,24,Tomato
Millet,38,5.9,1199,24,Cotton
Maize,29,5.5,513,21,Soybean
Soybean,18,6.4,327,32,Barley
Wheat,27,7.3,325,25,Rice
Millet,26,5.9,343,23,Cotton
Maize,15,5.9,982,26,Soybean
Potato,10,5.6,384,31,Wheat
Wheat,22,6.6,1381,19,Rice
Barley,50,6.5,569,26,Wheat
Cotton,34,6.7,1329,33,Tomato
Cotton,24,6.6,925,22,Tomato
Wheat,50,6.7,493,15,Rice
Barley,23,7.3,1459,19,Wheat
Maize,19,7.3,411,16,Soybean
Soybean,13,7.4,1204,27,Barley
Rice,47,5.8,760,35,Maize
Maize,17,6.5,725,28,Soybean
Maize,11,7.4,549,31,Soybean
Wheat,16,5.7,1012,22,Rice
Tomato,43,6.8,536,28,Rice
Tomato,49,7.3,385,32,Rice
Barley,23,6.2,653,32,Wheat
Barley,41,6.9,1168,21,Wheat
Sugarcane,36,6.4,1024,19,Potato
Cotton,15,6.1,1477,22,Tomato
Maize,47,5.8,1006,24,Soybean
Wheat,42,5.6,608,31,Rice
Sugarcane,11,6.8,830,34,Potato
Rice,25,6.6,856,19,Maize
Sugarcane,36,6.4,552,25,Potato
Maize,35,6.6,510,26,Soybean
Cotton,11,6.5,716,28,Tomato
Soybean,43,5.8,531,21,Barley
Barley,37,6.7,1026,19,Wheat
Millet,41,7.4,986,19,Cotton
Soybean,31,6.7,1011,20,Barley
Barley,23,7.4,600,21,Wheat
Maize,39,5.7,846,24,Soybean
Wheat,29,6.3,564,26,Rice
Millet,34,5.7,605,20,Cotton
Barley,35,6.9,1458,29,Wheat
Soybean,16,5.6,1063,29,Barley
Rice,29,6.5,322,17,Maize
Soybean,31,5.5,886,16,Barley
Tomato,49,6.1,362,18,Rice
Soybean,33,6.4,572,23,Barley
Maize,38,7.2,749,21,Soybean
Potato,50,7.2,512,35,Wheat
Soybean,36,6.5,603,20,Barley
Barley,38,6.9,1413,24,Wheat
Potato,13,5.7,1145,17,Wheat
Tomato,46,6.6,1413,30,Rice
Sugarcane,31,6.1,1195,24,Potato
Millet,35,6.5,1302,24,Cotton
Wheat,10,7.5,776,27,Rice
Soybean,38,6.0,324,19,Barley
Barley,19,7.2,780,18,Wheat
Potato,24,7.1,687,30,Wheat
Cotton,40,5.7,594,25,Tomato
Wheat,41,6.2,1144,21,Rice
Rice,39,6.2,1266,24,Maize
Soybean,26,6.3,414,24,Barley
Rice,38,7.2,336,26,Maize
Millet,16,6.5,1193,31,Cotton
Potato,23,7.3,1451,24,Wheat
Potato,10,5.7,1449,35,Wheat
Rice,26,6.8,368,31,Maize
Wheat,32,6.4,590,34,Rice
Cotton,30,5.7,757,26,Tomato
Millet,34,5.6,348,26,Cotton
Millet,25,6.1,1234,33,Cotton
Barley,11,7.4,1429,21,Wheat
Millet,38,7.0,1078,29,Cotton
Potato,27,6.3,1480,17,Wheat
Tomato,50,6.1,1171,27,Rice
Wheat,12,6.8,506,33,Rice
Cotton,20,6.5,1165,20,Tomato
Soybean,21,6.4,585,29,Barley
Sugarcane,47,5.7,880,18,Potato
Barley,44,5.6,1055,18,Wheat
Millet,46,6.4,765,26,Cotton
Millet,40,5.6,429,15,Cotton
Soybean,13,7.3,757,35,Barley
Potato,33,6.1,510,18,Wheat
Tomato,14,6.6,566,30,Rice
Maize,14,5.7,1447,21,Soybean
Cotton,49,7.1,1372,34,Tomato
Rice,38,6.0,1344,21,Maize
Tomato,48,5.6,648,20,Rice
Soybean,38,6.6,1196,26,Barley
Soybean,32,6.3,797,26,Barley
Soybean,31,5.5,1101,25,Barley
Millet,40,5.7,1106,27,Cotton
Sugarcane,20,6.9,855,22,Potato
Maize,31,7.3,385,25,Soybean
Millet,48,6.0,1405,32,Cotton
Sugarcane,29,6.6,649,35,Potato
Millet,26,5.5,340,15,Cotton
Sugarcane,25,6.7,688,35,Potato
Sugarcane,20,6.9,604,20,Potato
Rice,14,6.8,1306,20,Maize
Barley,37,6.9,340,28,Wheat
Rice,42,6.4,1024,20,Maize
Millet,30,6.0,433,24,Cotton
Millet,41,5.7,1081,21,Cotton
Barley,26,5.8,920,35,Wheat
Potato,26,5.9,873,33,Wheat
Sugarcane,12,7.3,1449,32,Potato
Rice,40,7.1,985,29,Maize
Wheat,18,5.9,941,15,Rice
Sugarcane,18,5.8,1216,34,Potato
Millet,21,6.1,789,26,Cotton
Rice,39,7.1,665,27,Maize
Rice,17,6.0,1224,26,Maize
Sugarcane,35,5.9,1308,25,Potato
Barley,36,7.2,1136,33,Wheat
Barley,49,7.1,452,18,Wheat
Rice,21,7.4,1195,34,Maize
Rice,15,7.0,1130,30,Maize
Soybean,37,7.2,741,25,Barley
Cotton,48,6.4,1019,22,Tomato
Barley,11,5.5,712,29,Wheat
Cotton,38,6.4,1115,27,Tomato
Soybean,43,6.2,720,32,Barley
Tomato,30,7.1,668,24,Rice
Barley,41,7.3,1299,34,Wheat
Rice,49,7.5,854,19,Maize
Tomato,21,6.1,721,28,Rice
Cotton,23,6.2,593,16,Tomato
Wheat,47,7.1,790,29,Rice
Barley,34,5.7,1382,15,Wheat
Rice,35,5.9,959,27,Maize
Wheat,19,5.9,402,32,Rice
Cotton,39,7.5,528,31,Tomato
Wheat,47,6.9,622,32,Rice
Rice,37,6.7,1106,30,Maize
Rice,14,6.5,582,22,Maize
Tomato,30,7.3,875,35,Rice
Soybean,23,5.8,1366,31,Barley
Maize,25,6.0,1063,15,Soybean
Soybean,49,5.7,1072,23,Barley
Maize,34,6.2,1350,28,Soybean
Millet,19,5.8,1310,18,Cotton
Maize,28,6.9,1123,18,Soybean
Millet,19,6.1,644,31,Cotton
Maize,33,7.4,1361,19,Soybean
Millet,38,7.5,778,24,Cotton
Barley,36,7.3,824,17,Wheat
Tomato,45,6.0,1455,25,Rice
Potato,46,6.2,973,29,Wheat
Soybean,11,7.3,875,31,Barley
Rice,31,6.7,758,29,Maize
Cotton,48,7.5,661,26,Tomato
Tomato,46,6.5,622,26,Rice
Wheat,20,5.9,415,26,Rice
Potato,50,5.5,1172,29,Wheat
Cotton,25,6.0,1219,31,Tomato
Tomato,47,5.6,597,19,Rice
Potato,17,6.9,775,19,Wheat
Maize,33,6.6,835,24,Soybean
Millet,49,6.2,1464,26,Cotton
Wheat,41,5.9,515,35,Rice
Wheat,43,6.9,542,16,Rice
Rice,16,7.3,916,21,Maize
Soybean,42,5.9,612,34,Barley
Tomato,28,6.5,513,34,Rice
Millet,20,6.4,1232,34,Cotton
Potato,46,5.9,497,24,Wheat
Soybean,28,7.4,418,20,Barley
Rice,48,7.0,887,25,Maize
Cotton,44,6.5,720,33,Tomato
Wheat,37,6.5,862,22,Rice
Tomato,43,5.7,1036,29,Rice
Rice,10,7.2,494,30,Maize
Sugarcane,27,7.5,448,28,Potato
Barley,28,6.3,530,18,Wheat
Barley,19,6.9,1272,32,Wheat
Wheat,16,6.6,1314,28,Rice
Millet,47,7.4,532,19,Cotton
Rice,49,6.8,689,26,Maize
Cotton,37,5.5,1279,24,Tomato
Soybean,33,7.3,1237,27,Barley
Millet,38,6.6,837,28,Cotton
Barley,32,6.1,566,26,Wheat
Millet,13,6.8,631,15,Cotton
Maize,34,6.2,1231,25,Soybean
Barley,41,6.3,1048,24,Wheat
Tomato,35,5.7,493,18,Rice
Sugarcane,36,6.3,1383,22,Potato
Tomato,13,6.0,550,20,Rice
Cotton,44,5.9,736,22,Tomato
Cotton,34,6.1,1309,32,Tomato
Barley,10,6.9,807,34,Wheat
Maize,28,6.4,591,25,Soybean
Barley,14,5.8,314,32,Wheat
Maize,18,5.5,882,22,Soybean
Potato,18,6.2,1225,22,Wheat
Potato,44,6.5,1044,18,Wheat
Soybean,21,6.7,1384,22,Barley
Sugarcane,40,5.7,1327,34,Potato
Maize,30,6.7,1487,30,Soybean
Wheat,38,5.9,1381,15,Rice
Wheat,19,5.6,1260,27,Rice
Rice,15,7.0,1300,15,Maize
Millet,15,7.3,1273,29,Cotton
Soybean,46,6.4,1298,30,Barley
Millet,42,5.6,644,27,Cotton
Maize,19,6.2,1145,20,Soybean
Potato,17,6.2,1114,33,Wheat
Rice,29,6.1,1089,34,Maize
Soybean,38,6.2,1341,25,Barley
Rice,41,6.4,1116,35,Maize
Cotton,42,6.3,1201,20,Tomato
Barley,29,7.3,626,31,Wheat
Sugarcane,14,7.3,1093,21,Potato
Maize,50,6.9,1138,29,Soybean
Sugarcane,45,6.2,1343,32,Potato
Barley,17,6.0,811,23,Wheat
Tomato,23,6.9,731,17,Rice
Potato,26,6.9,1375,26,Wheat
Sugarcane,19,6.0,1148,30,Potato
Maize,37,6.7,402,15,Soybean
Wheat,31,5.6,979,20,Rice
Wheat,45,7.5,1441,23,Rice
Soybean,48,5.7,1131,22,Barley
Potato,49,7.5,1207,34,Wheat
Barley,36,6.6,1014,23,Wheat
Maize,48,6.2,915,19,Soybean
Tomato,37,6.8,594,19,Rice
Sugarcane,11,6.4,1014,16,Potato
Cotton,10,7.2,908,33,Tomato
Sugarcane,30,6.8,898,24,Potato
Cotton,21,5.9,1403,34,Tomato
Tomato,21,6.2,1461,20,Rice
Rice,37,5.6,1407,32,Maize
Maize,35,6.1,1425,15,Soybean
Tomato,37,6.9,431,30,Rice
Sugarcane,34,5.7,1350,21,Potato
Maize,12,7.4,521,35,Soybean
Potato,20,7.4,1269,26,Wheat
Wheat,10,6.5,1370,15,Rice
Barley,47,7.3,532,33,Wheat
Cotton,29,6.6,1190,34,Tomato
Maize,15,6.0,668,16,Soybean
Rice,47,5.6,553,17,Maize
Potato,44,5.7,1491,22,Wheat
Rice,47,6.0,1428,19,Maize
Cotton,14,6.6,1201,23,Tomato
Potato,44,6.0,1145,18,Wheat
Wheat,47,5.8,370,35,Rice
Soybean,16,6.6,1167,27,Barley
Cotton,24,6.9,589,23,Tomato
Rice,47,5.9,1119,26,Maize
Wheat,30,7.1,1107,30,Rice
Sugarcane,48,5.8,567,20,Potato
Tomato,42,7.3,1057,26,Rice
Millet,16,6.4,918,19,Cotton
Barley,29,6.7,782,35,Wheat
Sugarcane,34,5.7,1223,30,Potato
Soybean,13,5.7,1191,27,Barley
Barley,15,6.2,1272,34,Wheat
Potato,10,7.5,706,17,Wheat
Wheat,14,6.5,1051,21,Rice
Barley,44,7.2,489,24,Wheat
Rice,23,6.7,1449,26,Maize
Millet,35,6.9,860,34,Cotton
Maize,16,6.2,1280,17,Soybean
Rice,31,7.1,939,20,Maize
Cotton,36,7.2,1086,35,Tomato
Wheat,50,6.3,900,27,Rice
Wheat,21,6.2,715,23,Rice
Cotton,38,6.1,1485,33,Tomato
Wheat,12,6.3,1412,22,Rice
Maize,21,5.9,1077,29,Soybean
Soybean,13,6.9,1371,22,Barley
Tomato,46,6.0,913,17,Rice
Barley,10,6.1,1406,25,Wheat
Cotton,19,7.2,1062,23,Tomato
Millet,19,7.3,533,34,Cotton
Cotton,19,7.1,962,21,Tomato
Rice,21,5.7,1471,17,Maize
Rice,40,6.1,1080,26,Maize
Millet,29,6.3,394,17,Cotton
Maize,15,5.9,1348,31,Soybean
Tomato,11,6.0,778,30,Rice
Wheat,26,6.9,1487,29,Rice
Rice,47,6.0,539,34,Maize
Wheat,33,7.1,1101,34,Rice
Millet,15,6.6,1150,19,Cotton
Barley,19,7.0,482,33,Wheat
Cotton,36,6.7,918,15,Tomato
Maize,16,6.6,345,30,Soybean
Tomato,17,7.3,1261,20,Rice
Cotton,24,5.8,1318,30,Tomato
Rice,38,6.0,538,33,Maize
Potato,15,5.7,383,25,Wheat
Potato,21,6.6,372,28,Wheat
Wheat,24,7.5,1220,15,Rice
Potato,13,7.0,569,19,Wheat
Potato,42,6.6,446,21,Wheat
Sugarcane,46,6.9,467,32,Potato
Cotton,49,7.1,673,26,Tomato
Barley,27,6.5,1192,27,Wheat
Barley,25,5.9,1096,21,Wheat
Rice,16,5.9,839,20,Maize
Rice,48,6.0,1349,27,Maize
Barley,12,6.2,835,31,Wheat
Millet,43,7.4,1034,28,Cotton
Tomato,32,6.2,879,28,Rice
Rice,32,7.3,1071,33,Maize
Sugarcane,47,7.0,1140,28,Potato
Rice,33,6.9,1353,16,Maize
Maize,39,7.2,362,33,Soybean
Millet,27,7.0,1239,33,Cotton
Barley,23,6.0,1355,15,Wheat
Cotton,30,5.6,1383,34,Tomato
Barley,37,6.4,499,19,Wheat
Wheat,46,6.3,810,29,Rice
Millet,30,6.8,643,29,Cotton
Maize,24,5.8,441,25,Soybean
Barley,11,7.4,991,26,Wheat
Maize,12,7.1,800,35,Soybean
Tomato,38,7.2,445,18,Rice
Sugarcane,35,6.8,1166,16,Potato
Millet,19,6.9,1459,28,Cotton
Tomato,15,5.6,461,27,Rice
Millet,39,6.6,747,32,Cotton
Rice,39,6.2,560,28,Maize
Rice,27,5.7,924,25,Maize
Barley,46,6.6,1437,33,Wheat
Tomato,22,5.9,1443,20,Rice
Rice,38,5.8,919,27,Maize
Tomato,11,5.9,640,15,Rice
Rice,47,6.9,672,26,Maize
Potato,36,6.8,409,23,Wheat
Soybean,46,7.4,885,22,Barley
Sugarcane,17,5.5,1198,15,Potato
Maize,22,6.8,668,26,Soybean
Sugarcane,28,6.9,777,25,Potato
Rice,49,5.8,641,30,Maize
Barley,10,6.0,1409,33,Wheat
Sugarcane,31,6.8,742,25,Potato
Maize,31,6.1,1059,28,Soybean
Soybean,41,6.0,769,32,Barley
Wheat,21,5.5,1498,29,Rice
Millet,21,5.8,1095,35,Cotton
Maize,40,7.1,1280,34,Soybean
Maize,32,5.9,502,19,Soybean
Millet,25,6.6,539,18,Cotton
Maize,18,7.2,457,29,Soybean
Soybean,16,6.3,1303,15,Barley
Potato,21,5.7,876,31,Wheat
Wheat,49,5.5,1229,32,Rice
Millet,50,5.9,443,20,Cotton
Sugarcane,15,6.0,540,23,Potato
Barley,29,7.0,783,22,Wheat
Soybean,21,6.2,597,16,Barley
Sugarcane,35,6.6,1206,34,Potato
Potato,31,7.2,999,20,Wheat
Wheat,17,6.1,561,17,Rice
Tomato,38,6.4,379,20,Rice
Cotton,19,5.7,982,28,Tomato
Millet,32,6.4,1358,22,Cotton
Potato,27,7.2,1212,31,Wheat
Maize,31,6.6,1254,22,Soybean
Millet,11,5.9,643,25,Cotton
Cotton,31,5.5,1423,33,Tomato
Barley,41,6.6,1362,26,Wheat
Barley,44,7.4,783,22,Wheat
Wheat,24,5.6,590,27,Rice
Soybean,16,6.6,1261,16,Barley
Cotton,35,5.5,501,17,Tomato
Maize,44,5.5,724,18,Soybean
Cotton,47,6.3,1042,28,Tomato
Tomato,43,6.3,1261,30,Rice
Maize,33,6.0,567,23,Soybean
Wheat,25,7.2,687,24,Rice
Barley,13,6.9,900,26,Wheat
Tomato,19,5.6,1126,32,Rice
Cotton,22,7.2,816,26,Tomato
Tomato,21,6.0,392,35,Rice
Cotton,25,5.7,912,26,Tomato
Potato,36,7.3,464,25,Wheat
Maize,34,6.3,992,28,Soybean
Barley,44,5.9,884,16,Wheat
Tomato,28,6.6,803,27,Rice
Barley,25,6.7,482,24,Wheat
Tomato,21,7.0,1493,19,Rice
Millet,27,7.4,1086,18,Cotton
Maize,11,7.1,954,30,Soybean
Wheat,50,6.7,610,21,Rice
Millet,30,6.0,1245,35,Cotton
Sugarcane,33,6.6,871,18,Potato
Millet,24,7.3,1104,34,Cotton
Millet,30,7.0,947,28,Cotton
Soybean,43,7.2,852,35,Barley
Sugarcane,13,5.6,1329,17,Potato
Sugarcane,25,6.5,778,35,Potato
Millet,43,5.9,1336,17,Cotton
Tomato,28,6.4,1112,31,Rice
Maize,36,5.8,904,32,Soybean
Maize,18,6.6,1085,28,Soybean
Tomato,16,7.1,1232,34,Rice
Soybean,18,7.3,758,23,Barley
Millet,40,7.2,578,15,Cotton
Tomato,38,6.9,1326,30,Rice
Soybean,29,6.5,760,17,Barley
Rice,43,6.8,451,19,Maize
Millet,38,6.3,384,35,Cotton
Maize,11,7.0,890,28,Soybean
Soybean,22,6.9,839,26,Barley
Millet,37,5.5,1438,31,Cotton
Sugarcane,25,6.7,812,34,Potato
Rice,28,6.9,632,28,Maize
Tomato,33,6.7,644,34,Rice
Maize,11,6.2,1202,35,Soybean
Tomato,22,5.8,1468,25,Rice
Millet,46,5.9,630,32,Cotton
Maize,18,7.3,600,15,Soybean
Maize,11,7.1,332,16,Soybean
Maize,27,5.9,1050,33,Soybean
Wheat,35,5.9,1473,30,Rice
Rice,22,6.0,897,34,Maize
Potato,28,6.2,847,23,Wheat
Potato,18,6.8,1231,16,Wheat
Maize,19,6.4,312,24,Soybean
Potato,48,6.0,503,29,Wheat
Potato,47,5.7,906,19,Wheat
Barley,24,7.5,607,28,Wheat
Barley,30,7.2,930,31,Wheat
Soybean,21,5.7,419,32,Barley
Millet,50,6.0,526,23,Cotton
Sugarcane,45,7.3,1086,17,Potato
Barley,26,6.9,863,17,Wheat
Barley,25,5.6,831,18,Wheat
Maize,30,7.2,940,26,Soybean
Potato,25,5.9,1438,27,Wheat
Millet,16,6.9,991,17,Cotton
Soybean,44,7.3,1336,24,Barley
Tomato,47,7.3,1132,21,Rice
Rice,26,5.8,1404,34,Maize
Tomato,36,6.5,1099,34,Rice
Millet,30,7.0,1159,22,Cotton
Wheat,48,6.9,323,30,Rice
Maize,30,6.9,1339,31,Soybean
Wheat,39,6.1,486,21,Rice
Soybean,19,7.1,1237,35,Barley
Potato,10,6.0,1315,31,Wheat
Wheat,30,6.5,733,17,Rice
Potato,33,7.4,967,22,Wheat
Barley,25,7.4,651,31,Wheat
Potato,46,6.5,560,22,Wheat
Millet,29,5.9,963,18,Cotton
Cotton,38,7.1,508,35,Tomato
Barley,37,6.8,1108,18,Wheat
Maize,15,6.6,870,15,Soybean
Cotton,50,7.4,649,15,Tomato
Potato,25,6.1,1385,28,Wheat
Rice,44,7.4,1023,18,Maize
Wheat,44,7.3,927,34,Rice
Potato,15,7.3,627,16,Wheat
Tomato,24,7.4,1157,17,Rice
Maize,34,5.9,912,33,Soybean
Barley,41,6.2,661,34,Wheat
Wheat,36,5.9,787,23,Rice
Sugarcane,40,7.5,1047,34,Potato
Sugarcane,12,5.9,655,32,Potato
Tomato,10,5.8,806,33,Rice
Rice,38,6.5,1017,26,Maize
Sugarcane,30,5.6,1009,18,Potato
Cotton,13,5.8,462,29,Tomato
Soybean,48,7.5,863,23,Barley
Maize,22,6.4,1496,34,Soybean
Wheat,18,7.4,1056,31,Rice
Rice,16,7.4,336,25,Maize
Millet,28,5.8,1030,18,Cotton
Millet,21,6.1,1383,20,Cotton
Soybean,43,5.9,711,18,Barley
Millet,23,5.8,1461,29,Cotton
Millet,46,5.6,1027,29,Cotton
Maize,23,7.3,668,15,Soybean
Cotton,19,7.3,1091,34,Tomato
Barley,47,6.8,1035,31,Wheat
Tomato,15,7.1,1115,19,Rice
Soybean,15,7.3,1100,28,Barley
Potato,25,5.7,1061,32,Wheat
Wheat,38,7.4,1279,20,Rice
Potato,26,5.9,1098,30,Wheat
Cotton,40,5.7,341,34,Tomato
Tomato,48,6.5,598,33,Rice
Rice,39,7.3,1184,20,Maize
Rice,34,5.9,1396,33,Maize
Sugarcane,25,5.6,720,25,Potato
Maize,11,7.3,964,17,Soybean
Potato,21,6.8,1394,25,Wheat
Barley,43,6.2,856,32,Wheat
Potato,25,5.6,847,17,Wheat
Millet,44,6.6,562,35,Cotton
Rice,14,6.4,681,23,Maize
Millet,48,5.6,490,33,Cotton
Maize,25,7.0,1202,34,Soybean
Sugarcane,43,6.0,780,23,Potato
Barley,41,6.8,1105,22,Wheat
Sugarcane,28,5.7,688,26,Potato
Maize,31,6.9,623,18,Soybean
Potato,26,7.1,1296,32,Wheat
Maize,35,6.4,340,20,Soybean
Barley,39,6.2,725,17,Wheat
Sugarcane,37,5.6,441,21,Potato
Rice,41,7.0,1041,28,Maize
Tomato,12,6.2,548,18,Rice
Potato,12,6.2,772,24,Wheat
Tomato,20,6.8,1366,32,Rice
Rice,31,5.6,580,26,Maize
Sugarcane,18,6.8,1191,29,Potato
Maize,48,5.8,698,25,Soybean
Soybean,19,6.7,662,30,Barley
Maize,13,7.2,501,26,Soybean
Potato,10,6.4,1400,17,Wheat
Potato,38,7.0,538,22,Wheat
Sugarcane,23,7.3,1315,26,Potato
Barley,23,6.8,458,18,Wheat
Rice,21,6.7,1284,21,Maize
Barley,16,6.2,1304,30,Wheat
Maize,17,5.6,383,20,Soybean
Cotton,14,5.7,1103,30,Tomato
Maize,48,6.4,1137,25,Soybean
Maize,30,7.2,359,30,Soybean
Tomato,44,5.9,870,18,Rice
Rice,33,6.9,383,17,Maize
Cotton,16,7.3,562,19,Tomato
Barley,48,7.2,1420,28,Wheat
Rice,40,5.6,561,20,Maize
Millet,39,7.1,327,31,Cotton
Sugarcane,43,7.1,1413,32,Potato
Wheat,49,5.9,1397,33,Rice
Wheat,44,5.7,957,25,Rice
Sugarcane,26,5.9,492,25,Potato
Tomato,49,7.3,395,29,Rice
Soybean,42,7.0,823,31,Barley
Rice,33,7.1,763,21,Maize
Soybean,19,5.7,917,28,Barley
Maize,45,7.4,1276,34,Soybean
Millet,30,7.3,803,22,Cotton
Barley,37,7.2,482,19,Wheat
Tomato,17,7.4,313,22,Rice
Potato,18,6.6,536,24,Wheat
Tomato,30,5.6,962,25,Rice
Rice,24,6.3,427,17,Maize
Rice,40,6.8,627,17,Maize
Maize,36,5.8,1252,28,Soybean
Cotton,23,7.1,1053,20,Tomato
Soybean,33,7.5,972,26,Barley
Wheat,43,6.7,1379,15,Rice
Millet,19,6.9,1251,20,Cotton
Potato,22,7.0,445,15,Wheat
Wheat,49,6.8,1126,32,Rice
Soybean,48,6.4,352,17,Barley
Tomato,23,5.6,392,21,Rice
Barley,31,6.5,1260,22,Wheat
Potato,39,7.5,1263,17,Wheat
Wheat,14,7.0,826,30,Rice
Tomato,25,7.0,1085,18,Rice
Cotton,43,6.1,1072,25,Tomato
Soybean,49,6.0,1034,35,Barley
Cotton,12,6.4,1365,19,Tomato
Tomato,13,6.7,1453,16,Rice
Wheat,50,5.8,947,18,Rice
Tomato,47,6.1,858,26,Rice
Wheat,11,7.4,495,19,Rice
Maize,24,6.5,1307,31,Soybean
Soybean,49,7.5,847,24,Barley
Cotton,45,6.9,1496,24,Tomato
Rice,31,5.6,1047,25,Maize
Sugarcane,39,6.5,839,15,Potato
Sugarcane,20,7.0,1424,24,Potato
Potato,17,6.0,479,15,Wheat
Soybean,15,6.7,1361,26,Barley
Millet,30,6.1,684,19,Cotton
Millet,41,6.7,764,31,Cotton
Maize,43,7.4,569,24,Soybean
Millet,38,6.3,910,30,Cotton
Millet,24,7.1,1068,27,Cotton
Rice,24,6.2,1177,19,Maize
Cotton,28,7.4,1434,30,Tomato
Potato,13,7.3,1031,29,Wheat
Barley,34,7.0,1229,32,Wheat
Maize,31,6.0,483,18,Soybean
Sugarcane,21,6.2,357,33,Potato
Wheat,32,7.2,1421,29,Rice
Cotton,20,5.8,1300,19,Tomato
Soybean,35,7.3,848,17,Barley
Potato,48,5.9,1222,25,Wheat
Barley,31,7.1,1214,27,Wheat
Maize,43,5.5,1161,21,Soybean
Rice,34,6.1,1446,25,Maize
Potato,13,6.1,964,32,Wheat
Potato,26,7.0,1158,26,Wheat
Rice,36,6.3,1365,15,Maize
Wheat,23,5.9,749,21,Rice
Barley,41,6.7,1416,31,Wheat
Tomato,43,7.1,638,23,Rice
Barley,37,6.2,572,20,Wheat
Wheat,21,7.2,1008,33,Rice
Maize,17,7.1,1059,19,Soybean
Soybean,21,5.8,335,16,Barley
Barley,13,6.3,906,24,Wheat
Sugarcane,46,5.6,1199,31,Potato
Sugarcane,47,6.9,837,17,Potato
Soybean,43,6.3,966,21,Barley
Maize,49,7.1,393,35,Soybean
Soybean,15,6.5,724,30,Barley
Sugarcane,44,7.1,770,21,Potato
Sugarcane,21,6.6,311,27,Potato
Rice,10,5.6,601,19,Maize
Potato,40,5.9,981,32,Wheat
Wheat,36,7.4,1127,34,Rice
Sugarcane,10,6.2,833,30,Potato
Maize,37,7.0,894,35,Soybean
Potato,20,6.2,1309,19,Wheat
Tomato,30,7.0,1238,28,Rice
Millet,23,5.6,1197,29,Cotton
Sugarcane,34,6.1,674,26,Potato
Sugarcane,12,6.7,1316,25,Potato
Rice,36,6.4,476,33,Maize
Millet,19,5.6,862,30,Cotton
Millet,42,6.6,494,30,Cotton
Tomato,48,5.7,1248,28,Rice
Sugarcane,38,6.1,1006,17,Potato
Soybean,30,7.0,1316,31,Barley
Rice,37,5.8,1209,33,Maize
Sugarcane,44,5.9,1270,27,Potato
Tomato,40,5.6,839,22,Rice
Barley,16,6.4,819,23,Wheat
Maize,29,6.2,313,29,Soybean
Wheat,29,5.9,833,24,Rice
Millet,13,5.6,1228,34,Cotton
Maize,39,5.9,1164,33,Soybean
Millet,37,7.3,600,31,Cotton
Soybean,46,7.5,343,35,Barley
Maize,25,7.0,314,26,Soybean
Soybean,47,6.0,559,22,Barley
Rice,48,6.4,1337,18,Maize
Sugarcane,34,6.8,1314,30,Potato
Soybean,36,7.4,889,29,Barley
Tomato,42,7.1,860,33,Rice
Millet,49,6.9,758,16,Cotton
Potato,26,5.8,1451,28,Wheat
Cotton,16,6.3,1345,22,Tomato
Cotton,14,7.2,807,26,Tomato
Tomato,13,7.0,562,19,Rice
Sugarcane,26,5.7,568,35,Potato
Barley,23,5.6,876,34,Wheat
Wheat,39,7.4,1139,31,Rice
Sugarcane,16,6.1,451,19,Potato
Wheat,44,5.7,909,16,Rice
Wheat,28,5.6,910,32,Rice
Rice,43,7.1,1120,15,Maize
Tomato,41,6.5,569,33,Rice
Soybean,17,6.4,1040,29,Barley
Sugarcane,31,6.2,755,30,Potato
Maize,29,5.5,1002,15,Soybean
Potato,34,6.3,1457,23,Wheat
Barley,28,6.4,563,18,Wheat
Rice,41,5.6,1478,31,Maize
